EnsemblGeneID	EntrezGeneID
ENSGALG00000001399	
ENSGALG00000026055	
ENSGALG00000004505	
ENSGALG00000004645	
ENSGALG00000004514	395091
ENSGALG00000004525	417455
ENSGALG00000004583	417456
ENSGALG00000026221	417204
ENSGALG00000026221	100859613
ENSGALG00000001898	
ENSGALG00000004622	417203
ENSGALG00000004622	100858830
ENSGALG00000001962	420098
ENSGALG00000004604	417202
ENSGALG00000004604	100859686
ENSGALG00000027370	100049617
ENSGALG00000023354	429198
ENSGALG00000028749	776816
ENSGALG00000026930	
ENSGALG00000004573	417201
ENSGALG00000004573	100858917
ENSGALG00000023735	
ENSGALG00000026007	417199
ENSGALG00000026007	100858558
ENSGALG00000026007	100859010
ENSGALG00000027854	771771
ENSGALG00000027854	100859585
ENSGALG00000006880	
ENSGALG00000006883	
ENSGALG00000004635	417204
ENSGALG00000004635	100859613
ENSGALG00000004565	417200
ENSGALG00000004565	100858951
ENSGALG00000001969	
ENSGALG00000027715	
ENSGALG00000006895	422074
ENSGALG00000027497	100857593
ENSGALG00000004556	
ENSGALG00000004548	417198
ENSGALG00000006900	422075
ENSGALG00000006901	
ENSGALG00000026231	100858440
ENSGALG00000004512	417197
ENSGALG00000004512	100857218
ENSGALG00000021637	420100
ENSGALG00000004490	427765
ENSGALG00000006915	422077
ENSGALG00000026428	428673
ENSGALG00000006938	428674
ENSGALG00000017418	422078
ENSGALG00000006963	422079
ENSGALG00000004485	417196
ENSGALG00000004466	417195
ENSGALG00000026241	429171
ENSGALG00000002029	420101
ENSGALG00000006988	
ENSGALG00000007018	768556
ENSGALG00000013978	426329
ENSGALG00000013978	100859123
ENSGALG00000017611	425539
ENSGALG00000002453	
ENSGALG00000004378	417194
ENSGALG00000028236	396314
ENSGALG00000027357	417193
ENSGALG00000007027	422081
ENSGALG00000023709	417192
ENSGALG00000004180	417191
ENSGALG00000004165	417190
ENSGALG00000004152	417189
ENSGALG00000007042	422083
ENSGALG00000007054	768712
ENSGALG00000007063	395354
ENSGALG00000026548	422084
ENSGALG00000023338	426248
ENSGALG00000013743	426249
ENSGALG00000004142	417188
ENSGALG00000029123	
ENSGALG00000011816	
ENSGALG00000011822	430103
ENSGALG00000027070	374178
ENSGALG00000028462	
ENSGALG00000007093	422085
ENSGALG00000004088	417187
ENSGALG00000024035	770081
ENSGALG00000007106	768861
ENSGALG00000005127	423019
ENSGALG00000005133	423020
ENSGALG00000005155	423021
ENSGALG00000005159	770044
ENSGALG00000013188	395123
ENSGALG00000004052	417186
ENSGALG00000013185	
ENSGALG00000027777	100216000
ENSGALG00000012710	396336
ENSGALG00000002559	420102
ENSGALG00000023689	417185
ENSGALG00000003941	417184
ENSGALG00000002591	420103
ENSGALG00000003895	417183
ENSGALG00000003887	417182
ENSGALG00000028523	429967
